property_name,property_type,address,area,year,floors,developer,transaction_count,image_url,region,district,code
Man Foong Industrial Building,Industrial,7 Cheung Lee Street,,1977 Year,24 Floor(s),,9,https://hkis.centanet.com/oir/GB-wHJBIGBFRVlw3KigqKTUpKTUoITchXlkpIC8oIC9cISssIVopICEtKSFZW1sqKyEsLC5aXDZyaH8=.jpg,HK_Island,Chai Wan,WS012
Chai Wan Industrial City I,Industrial,60-70 Wing Tai Road,"18,800ft² approx",1989 Year,21 Floor(s),Sino Land Company Limited,10,https://hkis.centanet.com/oir/VVL9Ud0FVVwcGxF6Z2VkZnhlZHhnbXphYGVgZXs_JTI=.jpg,HK_Island,Chai Wan,WS012
Paramount Building,Industrial,12 Ka Yip Street,,1990 Year,20 Floor(s),,7,https://hkis.centanet.com/oir/XFv0WNQMXFUVEhhzbmxtbnFtbnFvbXNoaGtqa3I2LDs=.jpg,HK_Island,Chai Wan,WS012
Sunview Industrial Building,Industrial,3 On Yip Street,,1977 Year,13 Floor(s),Sino Land Company Limited,13,https://hkis.centanet.com/oir/UVb5VdkBUVgYHxV-Y2FgYnxhY3xjY35lZGBoYX87ITY=.jpg,HK_Island,Chai Wan,WS012
Tak King Industrial Building,Industrial,27 Lee Chung Street,,1984 Year,24 Floor(s),,10,https://hkis.centanet.com/oir/ZWLNYe01ZWwsKyFKV1VXVEhUVEhVXEonICNTVVFWViRSJ1xRVFIgJ1NUXSNTXVRdJiZWISRWUksPFQI=.jpg,HK_Island,Chai Wan,WS012
Cheung Wei Industrial Building,Industrial,42 Lee Chung Street,,1970 Year,13 Floor(s),,13,https://hkis.centanet.com/oir/ExS7F5tDExpaXVc8ISMhIj4iIj4jKjxRJCMnViRRJiJXI1UnKiZWKiRVKiEqKlIiJFYiKyQmIj15Y3Q=.jpg,HK_Island,Chai Wan,WS012
Fortune Factory Building A,Industrial,40 Lee Chung Street,,1978 Year,24 Floor(s),,7,https://hkis.centanet.com/oir/Gh2yHpJKGhNTVF41KCooKzcrKzcqIzVcIi5cKyIuX14rKlguKFleWFsqLV5ZKSJZLl8rWChYKTRwan0=.jpg,HK_Island,Chai Wan,WS012
Fortune Factory Building B,Industrial,40 Lee Chung Street,,1978 Year,24 Floor(s),,11,https://hkis.centanet.com/oir/aW7BbeE5aWAgJy1GW1lbWERYWERZUEZbKy1dKChcXlksWl1dK1FdKyorWi9cX1orXCheWVteWkcDGQ4=.jpg,HK_Island,Chai Wan,WS012
Cornell Centre,Industrial,50 Wing Tai Road,,1991 Year,21 Floor(s),Sino Land Company Limited,8,https://hkis.centanet.com/oir/Xln2WtYOXlcXEBpxbG5vbXNuaHNuaXFqaGttb3A0Ljk=.jpg,HK_Island,Chai Wan,WS012
Sunrise Industrial Building,Industrial,10 Hong Man Street,,1977 Year,22 Floor(s),,3,https://hkis.centanet.com/oir/aW7BbeE5aWAgJy1GW1lbWERYWERZUEYtWC9QWCxZKi8sUV1dWF8sK1FQXi1aUFFfLSgoUFgvKEcDGQ4=.jpg,HK_Island,Chai Wan,WS012
Unison Industrial Building,Industrial,7 Sun Yip Street,,1976 Year,13 Floor(s),,5,https://hkis.centanet.com/oir/VFP8UNwEVF0dGhB7ZmRlZ3lkZXlmbHtgYWRkYHo-JDM=.jpg,HK_Island,Chai Wan,WS012
Asia One Tower,Industrial,8 Fung Yip Street,,1982 Year,14 Floor(s),,7,https://hkis.centanet.com/oir/HBu0GJRMHBVVUlgzLiwuKDEsKjEtKTMtLiwvWiRaLiRZXysoKSQrJVpZXyQpLVglLSpdXyhdLTJscns=.jpg,HK_Island,Chai Wan,WS012
Shing King Industrial Building (CW),Industrial,45 Kut Shing Street,,1972 Year,15 Floor(s),,6,https://hkis.centanet.com/oir/Gh2yHpJKGhNTVF41KCooKzcrKzcqIzUqLSwqIl4qLS9bKCIuKVlYWyleKFxeW1tcIyspKy5cWDRwan0=.jpg,HK_Island,Chai Wan,WS012
Cheung Yick Industrial Building,Industrial,12 On Yip Street,,1973 Year,13 Floor(s),,4,https://hkis.centanet.com/oir/FxC_E59HFx5eWVM4JSclJjomJjonJjhWICMnIFQlUiNTUy4jVC8hVSAjLi4uUy8gVFYmVS5WVTl9Z3A=.jpg,HK_Island,Chai Wan,WS012
Kam Man Fung Factory Building,Industrial,6 Hong Man Street,,1977 Year,21 Floor(s),,5,https://hkis.centanet.com/oir/Y2TLZ-szY2oqLSdMUVNRUk5SUk5TWkxSIFsmW1RQVlUhIFtXJVBRIlpRISVQVVFTViZQJVUnJk0JEwQ=.jpg,HK_Island,Chai Wan,WS012
Yiko Industrial Building,Industrial,10 Ka Yip Street,,1988 Year,24 Floor(s),,7,https://hkis.centanet.com/oir/V1D_U98HV14eGRN4ZWdmZHpnZnplb3hjYmdkY3k9JzA=.jpg,HK_Island,Chai Wan,WS012
Chai Wan Industrial City II,Industrial,60-70 Wing Tai Road,,1989 Year,21 Floor(s),Sino Land Company Limited,6,https://hkis.centanet.com/oir/Wl3yXtIKWlMTFB51aGpqYndqbHdoYnVrbW1uaXQwKj0=.jpg,HK_Island,Chai Wan,WS012
