building_key,leasinghub_id,leasinghub_original_key,leasinghub_name,centanet_id,centanet_original_key,centanet_name,match_score
LH_2955,2955,2955,Summit Insurance Building,f885e757-8b59-4092-bb7f-592a115c79e5,f885e757-8b59-4092-bb7f-592a115c79e5,Summit Insurance Building,90.0
LH_2009,2009,2009,Sun Hung Kai Centre,89b02d4b-74a5-4c96-9f86-74d86e3c7335,89b02d4b-74a5-4c96-9f86-74d86e3c7335,Sun Hung Kai Centre,90.0
LH_2357,2357,2357,Sunbeam Plaza,77ec08af-900d-4181-880b-a25ff2a99830,77ec08af-900d-4181-880b-a25ff2a99830,Sunbeam Plaza,90.0
LH_6632,6632,6632,Supreme House,ac78c149-b6a4-43c1-8d14-05baf24e2647,ac78c149-b6a4-43c1-8d14-05baf24e2647,Supreme House,89.2
LH_2958,2958,2958,Tai Shing Commercial (Yaumatei) Building,931cf37f-8fcc-4b6e-92bc-e3ca4e4935b2,931cf37f-8fcc-4b6e-92bc-e3ca4e4935b2,Tai Shing Commercial (Yaumati) Building,89.4
LH_2159,2159,2159,Tai Tung Building,13504470-fcf6-482f-95d2-bd52c9d1a443,13504470-fcf6-482f-95d2-bd52c9d1a443,Tai Tung Building,90.0
LH_1572,1572,1572,Tai Yau Building,3358715a-602d-4ed6-8ece-27cabd7eb850,3358715a-602d-4ed6-8ece-27cabd7eb850,Tai Yau Building,90.0
LH_4551,4551,4551,Telford House,190e24d0-5cd4-4412-b3b6-3c0676973ceb,190e24d0-5cd4-4412-b3b6-3c0676973ceb,Telford House,90.0
LH_3509,3509,3509,Tern Plaza,ec96b456-a144-4800-b6e3-1791cd9909ce,ec96b456-a144-4800-b6e3-1791cd9909ce,Tern Plaza,90.0
LH_7018,7018,7018,TG Place,175b52bc-107e-4096-814d-e53ae3a6cafb,175b52bc-107e-4096-814d-e53ae3a6cafb,TG Place,90.0
LH_4619,4619,4619,The Bay Hub,a41be833-5bec-4d4a-a9fa-0c1aae385e89,a41be833-5bec-4d4a-a9fa-0c1aae385e89,The Bay Hub,90.0
LH_161,161,161,The Center,fb72724a-7a3b-46e1-b8f2-bc3dad468204,fb72724a-7a3b-46e1-b8f2-bc3dad468204,The Center,90.0
LH_1977,1977,1977,The Centrium,b9540fc8-d13f-4207-b034-467a65f83fbc,b9540fc8-d13f-4207-b034-467a65f83fbc,The Centrium,90.0
LH_2295,2295,2295,The Gateway Tower 1,b8cb5146-eb40-4bfd-b8a0-73f066dda980,b8cb5146-eb40-4bfd-b8a0-73f066dda980,The Gateway Tower 3 - Prudential Tower,86.4
LH_2296,2296,2296,The Gateway Tower 2,a2a8737d-2c50-446a-b7d7-297efc4d47dd,a2a8737d-2c50-446a-b7d7-297efc4d47dd,The Gateway Tower 2,90.0
LH_2311,2311,2311,The Gateway Tower 5,d1a3edea-36b8-4730-b63e-8e181a54732b,d1a3edea-36b8-4730-b63e-8e181a54732b,The Gateway Tower 5,90.0
LH_2312,2312,2312,The Gateway Tower 6,5f0957a1-837f-4bbd-90c4-4040f629be6f,5f0957a1-837f-4bbd-90c4-4040f629be6f,The Gateway Tower 6,90.0
LH_5556,5556,5556,The Globe,7f11e965-a1d9-439b-a07f-eb8ed0681f9e,7f11e965-a1d9-439b-a07f-eb8ed0681f9e,The Globe,90.0
LH_1377,1377,1377,The Goldmark,eac083a8-d936-4f64-b5a0-b4d2a04d2d01,eac083a8-d936-4f64-b5a0-b4d2a04d2d01,Goldmark,90.0
LH_4915,4915,4915,The Grid,b5ba9d94-6d30-4ab9-a8be-8e35739e7171,b5ba9d94-6d30-4ab9-a8be-8e35739e7171,The Grid,90.0
LH_1192,1192,1192,The Hong Kong Club Building,c8aa0fc0-9b5f-4730-9ee5-5921077eb9b8,c8aa0fc0-9b5f-4730-9ee5-5921077eb9b8,The Hong Kong Club Building,89.2
LH_199,199,199,The L.Plaza,beb5f76b-1db8-441b-b58f-ad749d172798,beb5f76b-1db8-441b-b58f-ad749d172798,The L. Plaza (QRC),90.0
LH_7494,7494,7494,The Metropolis Tower,258860c5-97bb-4e2f-a2f1-21b9f7680a37,258860c5-97bb-4e2f-a2f1-21b9f7680a37,Metropolis Tower,89.0
LH_6446,6446,6446,The Octagon,0164ed1f-242c-4e4e-9934-a74e0df5bb9a,0164ed1f-242c-4e4e-9934-a74e0df5bb9a,The Octagon,88.8
LH_6501,6501,6501,The Peninsula Office Tower,267faf9f-b418-4540-b959-44a41d610b33,267faf9f-b418-4540-b959-44a41d610b33,The Peninsula Office Tower,90.0
LH_5362,5362,5362,The Quayside,5da76ff0-aa62-4ae6-95ad-ecf8f2a64f9c,5da76ff0-aa62-4ae6-95ad-ecf8f2a64f9c,The Quayside,90.0
LH_17004,17004,17004,The Rainbow,25d50310-cddb-43d6-aeef-181d787e3e6c,25d50310-cddb-43d6-aeef-181d787e3e6c,The Rainbow,90.0
LH_1171,1171,1171,The Sun's Group Centre,afddeef3-93f8-498c-ab49-37f04683f79c,afddeef3-93f8-498c-ab49-37f04683f79c,The Sun's Group Centre,88.0
LH_2301,2301,2301,The Toy House,25bc5cc4-fd9e-43eb-bdf3-df159607ef5b,25bc5cc4-fd9e-43eb-bdf3-df159607ef5b,The Toy House,90.0
LH_1234,1234,1234,The Wellington,e184f422-8d1e-4508-8db3-edf76819c4de,e184f422-8d1e-4508-8db3-edf76819c4de,The Wellington,88.2
LH_1199,1199,1199,Three Exchange Square,5510fde4-660b-4427-a41f-70aceb30a8e2,5510fde4-660b-4427-a41f-70aceb30a8e2,Three Exchange Square,90.0
LH_1294,1294,1294,Three Garden Road - Champion Tower,4dd27749-7810-4e41-9f12-060859f7c28d,4dd27749-7810-4e41-9f12-060859f7c28d,Champion Tower,90.0
LH_1293,1293,1293,Three Garden Road - ICBC Tower,e04e7221-1f55-41c9-8690-023d3b1116fc,e04e7221-1f55-41c9-8690-023d3b1116fc,ICBC Tower (Garden Road),90.0
LH_353,353,353,Three Pacific Place,a18fd18c-b4a5-4138-aeaa-92f5fca268c3,a18fd18c-b4a5-4138-aeaa-92f5fca268c3,Three Pacific Place,90.0
LH_6157,6157,6157,Times Square Tower One,f9bc6a5f-bb9d-4e6d-949f-5760a858c96e,f9bc6a5f-bb9d-4e6d-949f-5760a858c96e,"Times Square, Tower 1",87.0
