Date,Address,Price,PriceTag,Area,Ft_Price,Agency,Region,District,Subdistrict,Code,Area_URL
2025-01-16,The Merton・Carpark・1/F・No.17 (Site A),$2.15M,S,--,--,Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-15,Ying Ga Garden・Tai Pak Court (Tower 2)・Upper Floor・Flat B,"$18,000",L,377ft²,@$48,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-15,Ivy On Belcher's・37/F・Flat D,$11.4M,S,535ft²,"@$21,308",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-14,The Hudson・Middle Floor・Flat D,"$30,000",L,464ft²,@$65,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-13,Serene Court・1/F・Flat G,$7.68M,S,691ft²,"@$11,107",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-13,The Merton・Tower 2・51/F・Flat F,$8.98M,S,474ft²,"@$18,945",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-12,Kennedy 38・Middle Floor・Flat F,"$20,500",L,265ft²,@$77,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-11,Ying Ga Garden・Tai Pak Court (Tower 2)・Upper Floor・Flat B,"$18,500",L,377ft²,@$49,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-10,The Merton・Tower 3・Upper Floor・Flat H,"$19,000",L,313ft²,@$61,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-10,Imperial Kennedy・Lower Floor・Flat A,"$30,000",L,558ft²,@$54,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-09,Luen Hong Apartments・2/F・Flat 12,$3.3M,S,328ft²,"@$10,061",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-09,Westview Height・2/F・Flat A,$4M,S,264ft²,"@$15,152",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-09,The Highline・20/F・Flat C,$9.82M,S,382ft²,"@$25,712",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-08,Ivy On Belcher's・Lower Floor・Flat C,"$20,500",L,399ft²,@$51,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-07,Lungga Mansion・2/F・Flat A,$3.5M,S,297ft²,"@$11,785",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-07,Luen Wai Apartment・2/F・Flat 7,$5M,S,391ft²,"@$12,788",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-06,Serene Court・10/F・Flat E,$5.5M,S,475ft²,"@$11,579",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-06,The Merton・Tower 3・48/F・Flat D,$9.9M,S,530ft²,"@$18,679",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-06,Harbour View Garden・Tower 1・28/F・Flat 2,$7.35M,S,437ft²,"@$16,819",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-03,On Fat Building・5/F・Flat B,$3M,S,322ft²,"@$9,317",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-01-03,The Merton・Tower 2・16/F・Flat F,$8.6M,S,470ft²,"@$18,298",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=h1fsv6bwfe
2025-02-18,King's Building・21/F・Flat B,$3.8M,S,314ft²,"@$12,102",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-17,Novum West・Tower 5・Upper Floor・Flat B,$5.3M,S,215ft²,"@$24,651",Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-17,Goa Building・15/F・Flat D,$4.3M,S,333ft²,"@$12,913",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-17,Chong Yip Centre・Block B・18/F・Flat E,$3.3M,S,270ft²,"@$12,222",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-12,Hon Bong Building・3/F・Flat B,$2.98M,S,299ft²,"@$9,967",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-12,High West・10/F・Flat E,$5.13M,S,293ft²,"@$17,509",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-10,Novum West・Tower 3・Lower Floor・Flat B,"$22,000",L,294ft²,@$75,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-10,Chong Yip Centre・Block B・12/F・Flat I,$3.98M,S,329ft²,"@$12,097",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-07,Wing Hing House・5/F・No. 482 (Front),$4M,S,522ft²,"@$7,663",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-06,Novum West・Tower 2・35/F・Flat D,$5.3M,S,225ft²,"@$23,556",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-05,One South Lane・Lower Floor・Flat 5,$4.45M,S,212ft²,"@$20,991",Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-05,Eivissa Crest・Lower Floor・Flat D,"$16,500",L,305ft²,@$54,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-04,Sun On Building・3/F・Flat Q,$3.4M,S,398ft²,"@$8,543",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-04,Novum West・Tower 3・6/F・Flat C,$4.2M,S,195ft²,"@$21,538",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-04,Chong Yip Centre・Block A・7/F・Flat E,$3.88M,S,393ft²,"@$9,873",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-03,Fu Ga Building・6/F・Flat B,$3.75M,S,309ft²,"@$12,136",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-03,Harbour One・38/F・Flat A,$39.2M,S,"1,265ft²","@$30,988",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-03,Harbour One・40/F・Flat A,$39.3M,S,"1,265ft²","@$31,067",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-01,Novum West・Tower 1・Middle Floor・Flat D,"$17,000",L,219ft²,@$78,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-01,Kam Ling Court・Block 1 (A)・Upper Floor・Flat 3,"$13,000",L,284ft²,@$46,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-01,Novum West・Tower 1・Middle Floor・Flat C,"$32,000",L,427ft²,@$75,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-01,Novum West・Tower 1・Upper Floor・Flat E,"$17,800",L,216ft²,@$82,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-25,Novum West・Tower 1・Lower Floor・Flat D,"$16,500",L,219ft²,@$75,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-23,Fortune Villa・Lower Floor・Flat C,"$16,300",L,361ft²,@$45,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-21,Whitty Street Court・No. 22-28・4/F・Flat 11 (No. 22),$4.5M,S,509ft²,"@$8,841",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-19,Eight South Lane・Upper Floor・Flat C,"$18,800",L,304ft²,@$62,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-18,Novum West・Tower 5・Middle Floor・Flat C,"$17,500",L,216ft²,@$81,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-17,Novum West・Tower 3・9/F・Flat E,$7M,S,358ft²,"@$19,553",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-15,Novum West・Tower 1・Middle Floor・Flat A,"$23,000",L,330ft²,@$70,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-14,High West・Middle Floor・Flat E,"$20,000",L,293ft²,@$68,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-14,Novum West・Tower 3・10/F・Flat D,$4.42M,S,199ft²,"@$22,211",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-14,Lok Po House・3/F・No. 4 (Flat 2),$3.1M,S,515ft²,"@$6,019",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-14,Novum West・Tower 3・8/F・Flat C,$4.3M,S,195ft²,"@$22,051",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-13,Green View Court・19/F・Flat B,$4.95M,S,337ft²,"@$14,688",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-12,High West・Upper Floor・Flat B,"$28,000",L,481ft²,@$58,Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-08,Dragonfair Garden・Block 2・23/F・Flat D,$7.12M,S,465ft²,"@$15,312",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-07,Novum West・Tower 3・Lower Floor・Flat E,$7M,S,358ft²,"@$19,553",Centaline,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-07,Joy Fat Mansion (House)・7/F・Flat 7,$4.47M,S,543ft²,"@$8,232",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-01-06,Kam Ling Court・Block 1 (A)・21/F・Flat 4,$4.3M,S,406ft²,"@$10,591",Land Registry,Hong Kong Island,All Hong Kong Island,Shek Tong Tsui,HMA047,https://hk.centanet.com/findproperty/en/list/transaction/shek-tong-tsui_19-HMA047?q=ntmzmiwe4z
2025-02-19,Island Crest・Tower 1・Lower Floor・Flat B,$11.06M,S,559ft²,"@$19,785",Centaline,Hong Kong Island,All Hong Kong Island,Sai Ying Pun,HMA056,https://hk.centanet.com/findproperty/en/list/transaction/sai-ying-pun_19-HMA056?q=qsamrfbsz2
2025-02-18,Luen Tak Building・5/F・No. 184,$3.78M,S,554ft²,"@$6,823",Land Registry,Hong Kong Island,All Hong Kong Island,Sai Ying Pun,HMA056,https://hk.centanet.com/findproperty/en/list/transaction/sai-ying-pun_19-HMA056?q=qsamrfbsz2
