Name,Address,Blocks,Units,Unit Rate,MoM,Trans Record,For Sale,For Rent,Region,District,Subdistrict,Code,Area_URL
To Li Garden,15-19 To Li Terrace,1,98,--,--,--,7,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Lexington Hill,11 Rock Hill Street,1,104,--,--,--,6,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Sincere Western House,63-71 Cadogan Street,1,205,--,--,--,5,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
No. 60 Victoria Road,60 Victoria Road,1,73,--,--,--,5,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Hoi Tao Building,7-11 Belcher's Street,3,323,--,--,--,4,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Belcher Court,2 Sai Cheung Street,2,240,"$15,856/ ft²",14.04%,1,4,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Po Tak Mansion,85 Smithfield,1,138,--,--,--,6,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Wah Fai House,26-34 Smithfield,1,92,--,--,--,4,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Yick Fung Garden,"20 Praya, Kennedy Town",2,235,"$16,767/ ft²",5.69%,1,4,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Luen Hong Apartments,116-122 Belcher's Street,1,267,"$10,335/ ft²",0.91%,3,4,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Tai Pak Terrace,36 Sands Street,1,45,--,--,--,3,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Kennedy Town Building,"27 Praya, Kennedy Town",1,75,--,--,--,3,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Luen Wai Apartment,136-142 Belcher's Street,1,279,"$11,272/ ft²",15.37%,2,3,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
