Name,Address,Blocks,Units,Unit Rate,MoM,Trans Record,For Sale,For Rent,Region,District,Subdistrict,Code,Area_URL
Bo Ming Court,14 Tin Hau Temple Road,1,24,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Mega Court,12 Cloud View Road,1,20,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Arden Court,96-102 Tin Hau Temple Road,1,46,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Tin Hau Co-Op Building Society,104-106 Tin Hau Temple Road,1,20,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Braemar Heights,7 Wai Tsui Crescent,2,87,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Magnolia Mansion,2-4 Tin Hau Temple Road,1,56,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
15 Dragon Road,15 Dragon Road,1,4,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Glen Circuit,41 Cloud View Road,1,48,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Homestead Mansions,39 Cloud View Road,1,20,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
9A Dragon Terrace,9A Dragon Terrace,1,3,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Fu Fai Court,33 Tin Hau Temple Road,1,14,--,--,--,--,--,Hong Kong Island,North Point Mid-Levels,North Point Mid-Levels,HMA042,https://hk.centanet.com/findproperty/en/list/estate/north-point-mid-levels_19-HMA042?q=b45vk066lm
Nan Fung Sun Chuen,15-27 Greig Crescent,12,"2,826","$13,248/ ft²",7.45%,1,42,12,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Novum East,856 King's Road,1,464,"$16,318/ ft²",11.74%,2,26,5,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Mount Parker Lodge,10 Hong Pak Path,5,983,"$10,616/ ft²",6.05%,2,27,3,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Westlands Court,5-11 Westlands Road,4,652,--,--,--,9,5,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
The Orchards,3 Greig Road,2,442,--,--,--,18,4,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Kornville,38 Yau Man Street,2,504,"$13,460/ ft²",2.26%,1,14,2,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Parkvale,2-8 Greig Road,4,838,"$11,885/ ft²",13.75%,2,14,2,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Dragon View House,6-16 Hoi Tai Street,1,190,--,--,--,--,1,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Royal Terrace,933 King's Rosd,1,240,--,--,--,9,2,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Westlands Gardens,2-12 Westlands Road,6,624,--,--,--,9,1,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Casa 880,880-886 King's Road,1,111,--,--,--,7,1,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Hoi Kwong Court,13-31 Hoi Kwong Street,2,384,--,--,--,5,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Bo Fung Gardens,1090-1094 King's Road,3,288,--,--,--,3,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tak Lee Building,993 King's Road,1,617,"$7,544/ ft²",8.41%,1,2,1,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Wai Lee Building,997 King's Road,1,430,--,--,--,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Ka Wing Building,4-6 Hoi Wan Street,1,172,"$13,600/ ft²",11.01%,1,2,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Sunway Gardens,989-991A King's Road,6,828,"$10,196/ ft²",2.83%,1,4,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Yick Cheong Building,1046 King's Road,1,420,"$7,527/ ft²",6.23%,1,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
King's View Court,901-907 King's Road,4,234,"$12,355/ ft²",25.25%,1,5,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Grandview Court,885-891 King's Road,1,146,--,--,--,4,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Wah Shun Gardens,898 King's Road,1,280,--,--,--,3,1,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Yick Fat Building,1048-1056 King's Road,1,680,"$6,648/ ft²",6.76%,1,3,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tai Ming House,9 Greig Road,1,197,"$6,863/ ft²",14.49%,1,2,1,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tak Fat Building,11-17 Finnie Street,1,104,"$14,046/ ft²",22.60%,1,2,1,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Chung Hing Mansion,1-13A Pan Hoi Street,1,440,--,--,--,2,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Oceanic Building,22-46 Finnie Street,1,144,--,--,--,2,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Wai Fong Court,955-957 King's Road,1,40,--,--,--,2,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Hon Way Mansion,11 Hoi Kwong Street,1,119,"$9,715/ ft²",21.55%,1,1,1,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Lido Apartments,860-878 King's Road,1,147,--,--,--,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Fortwest,1 Westlands Road,1,69,--,--,--,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Mansion Building,842-850 King's Road,1,45,--,--,--,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tai Kut House,7 Greig Road,1,194,--,--,--,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Lai King Mansion,883 King's Road,1,87,--,--,--,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Fok Cheong Building,1032-1044 King's Road,1,405,"$9,267/ ft²",--,1,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Lai Wah Mansion,867-873 King's Road,1,104,--,--,--,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Riviera Mansion,2 Hoi Wan Street,1,200,"$13,095/ ft²",8.82%,1,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Montane Mansion,1028 King's Road,1,432,"$7,990/ ft²",3.43%,2,1,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
24-38 Pan Hoi Street,24-38 Pan Hoi Street,4,64,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Kam Hoi Mansion,15-53A Pan Hoi Street,1,176,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
945 King's Road,945 King's Road,1,4,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Kiu Ying Building,2D Finnie Street,1,33,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
943 King's Road,943 King's Road,1,4,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Bo Sun Court,951-953 King's Road,1,22,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tai Fung Building,26-36 Hoi Kwong Street,1,42,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Ritz Garden Apartments,909-927 King's Road,2,79,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
947 King's Road,947 King's Road,1,4,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
949 King's Road,949 King's Road,1,4,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Swiss House,983-987A King's Road,1,83,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Finnie,9 Finnie Street,1,90,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Showboat Mansion,893 King's Road,1,72,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
King's House,969-971 King's Road,1,222,"$9,306/ ft²",36.52%,1,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Po Lee Building,995 King's Road,1,196,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tai Hing House,124 Quarry Bay Street,1,159,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
2 - 8 Mount Parker Road,2-8 Mount Parker Road,2,20,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Sea View Building,29-41 Tong Chong Street,2,112,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tai Lung House,123 Quarry Bay Street,1,147,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
40-94 Pan Hoi Street,40-94 Pan Hoi Street,15,200,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Oceanic Mansion,1010-1026 King's Road,1,507,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tai Chow House,121 Quarry Bay Street,1,155,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tai Sing House,122 Quarry Bay Street,1,160,"$8,590/ ft²",0.29%,1,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Tor Po Mansion,2A Finnie Street,2,472,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Hoi Wan Building,9-29 Hoi Wan Street,1,89,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Quarry Bay,HMA110,https://hk.centanet.com/findproperty/en/list/estate/quarry-bay_19-HMA110?q=lcekhkwyla
Kornhill,31-45 Hong Yue Street,32,"6,648","$12,102/ ft²",4.66%,8,134,31,Hong Kong Island,Kornhill | Quarry Bay,Kornhill,HMA113,https://hk.centanet.com/findproperty/en/list/estate/kornhill_19-HMA113?q=ixpk8s93pg
Kornhill Garden,1110-1128 King's Road,10,"2,180","$10,786/ ft²",1.68%,4,25,1,Hong Kong Island,Kornhill | Quarry Bay,Kornhill,HMA113,https://hk.centanet.com/findproperty/en/list/estate/kornhill_19-HMA113?q=ixpk8s93pg
The Floridian,18 Sai Wan Terrace,2,214,"$13,683/ ft²",19.18%,3,13,1,Hong Kong Island,Kornhill | Quarry Bay,Kornhill,HMA113,https://hk.centanet.com/findproperty/en/list/estate/kornhill_19-HMA113?q=ixpk8s93pg
Mount Parker Residences,1 Sai Wan Terrace,1,92,"$21,315/ ft²",8.97%,1,2,2,Hong Kong Island,Kornhill | Quarry Bay,Kornhill,HMA113,https://hk.centanet.com/findproperty/en/list/estate/kornhill_19-HMA113?q=ixpk8s93pg
Kornhill Apartment,2 Kornhill Road,1,448,--,--,--,--,--,Hong Kong Island,Kornhill | Quarry Bay,Kornhill,HMA113,https://hk.centanet.com/findproperty/en/list/estate/kornhill_19-HMA113?q=ixpk8s93pg
Taikoo Shing,Taikoo Wan Road,61,"12,696","$14,197/ ft²",0.53%,30,337,73,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing Tsui Woo Terrace,4 Taikoo Shing Road,3,644,"$11,149/ ft²",21.53%,1,24,5,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing Kwun Hoi Terrace,8 Taikoo Shing Road,3,632,"$15,385/ ft²",1.74%,1,24,1,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing Sing Fai Terrace,14 Taikoo Shing Road,8,"1,664","$14,679/ ft²",5.55%,5,35,13,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing On Shing Terrace,3 Tai Yue Avenue,6,"1,357","$13,314/ ft²",1.84%,6,38,12,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing Harbour View Gardens (East),2-10 Taikoo Wan Road,5,"1,071","$15,139/ ft²",10.45%,2,41,4,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing Horizon Gardens,18B Taikoo Shing Road,9,"1,675","$15,397/ ft²",1.47%,4,42,10,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing Kam Din Terrace,20 Taikoo Shing Road,8,"1,663","$13,575/ ft²",0.87%,3,34,9,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing Harbour View Gardens (West),16-26 Taikoo Wan Road,6,"1,328","$15,464/ ft²",7.09%,3,29,6,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Taikoo Shing Kao Shan Terrace,7 Tai Fung Avenue,13,"2,652","$13,442/ ft²",3.44%,5,70,13,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Splendid Place,39 Taikoo Shing Road,1,142,--,--,--,12,1,Hong Kong Island,Taikoo Shing,Taikoo Shing,HMA034,https://hk.centanet.com/findproperty/en/list/estate/taikoo-shing_19-HMA034?q=m5h2u88sdd
Grand Promenade,38 Tai Hong Street,5,"2,020","$18,165/ ft²",3.01%,3,137,21,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Lei King Wan,31-59 Tai Hong Street,17,"2,295","$11,794/ ft²",11.41%,1,80,12,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Lei King Wan Sites C,31-39 Tai Hong Street,4,558,"$11,794/ ft²",11.41%,1,15,1,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Lei King Wan Sites B,41-49 Tai Hong Street,4,552,--,--,--,18,3,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Lei King Wan Sites D,60-64 Lei King Road/21-23 Tai On Road,5,634,--,--,--,15,4,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Lei King Wan Sites A,51-59 Tai Hong Street,4,551,--,--,--,32,4,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Les Saisons,28 Tai On Street,4,864,"$18,443/ ft²",2.63%,2,29,12,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Parker33,33 Shing On Street,1,234,"$16,402/ ft²",5.01%,1,39,2,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Island Residence,163 Shau Kei Wan Road,1,170,--,--,--,27,6,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Bellevue (Belleve) Court,22 Sun Sing Street,2,292,--,--,--,10,--,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Sun Sing Centre,8 Sun Sing Street,3,476,--,--,--,13,1,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Felicity Garden,111 Shau Kei Wan Road,4,732,"$10,843/ ft²",16.72%,1,8,3,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Fu Yan Court,23 Sai Wan Ho Street,1,88,--,--,--,3,--,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Monti,9 Sai Wan Ho Street,1,144,"$19,649/ ft²",40.70%,1,19,2,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
18 Upper East,18 Shing On Street,1,108,--,--,--,11,--,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Grand Garden,8 Sai Wan Ho Street,1,112,--,--,--,10,3,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
The Oakridge,88 Yiu Hing Road,1,155,--,--,--,6,1,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Hung Yan Building,38 Holy Cross Path,1,100,--,--,--,2,1,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Tai On Building,57-87 Shau Kei Wan Road,1,"1,864","$8,026/ ft²",1.14%,2,4,--,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
The Holborn,1 Shau Kei Wan Road,2,420,--,--,--,30,11,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
I‧Uniq Grand,157 Shau Kei Wan Road,1,79,--,--,--,15,--,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
One Eighty,180 Shau Kei Wan Road,1,57,--,--,--,6,5,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
Hoi Lee Building,58-60 Sai Wan Ho Street,1,42,--,--,--,4,1,Hong Kong Island,Sai Wan Ho,Sai Wan Ho,HMA057,https://hk.centanet.com/findproperty/en/list/estate/sai-wan-ho_19-HMA057?q=83bm6ipw52
