ID,Name,Street Name,Area Name,Year Built,Highest Floor,Typical Floor Area,District Name,Latitude,Longitude,Grade,Min Rent,Max Rent,Min Price,Max Price
17721,20 Des Voeux Road Central,20 Des Voeux Road Central,Central,2025,,,Central and Western District,22.2822268,114.157196,A,,,,
6225,20-28 Cannon Street,20-28 Cannon Street,Causeway Bay,,,,Wanchai District,22.2816392,114.1837751,,,,,
839,202 Centre,202-204 Des Voeux Road West,Sai Ying Pun,1999,,,Central and Western District,22.2877095,114.1429251,C,17,17,,
1609,208 Johnston Road,208 Johnston Road,Wanchai,2020,28,"2,800 - 2,800",Wanchai District,22.277282994,114.176203001,B+,40,130,,
17317,20E - Science Park,20 Science Park East Avenue,Tai Po,,,,Tai Po District,22.4283605,114.2097408,A,,,,
17604,21 Ashley,21-27 Ashley Road,Tsimshatsui,2023,23,"5,461 - 8,064",Yau Tsim Mong District,22.2970158,114.1703499,A,50,63,,
17549,212-232 Des Voeux Road Central,212-232 Des Voeux Road Central,Sheung Wan,2025,,,Central and Western District,22.28612486333157,114.15304113250616,A,,,,
1617,22 Yee Wo Street,22 Yee Wo Street,Causeway Bay,1993,25,"1,387",Wanchai District,22.2797345,114.1852403,B,,,,
17520,228 Electric Road,228 Electric Road,North Point,2023,22,"4,261 - 5,518",Eastern District,22.28882707970473,114.19337827976229,A,25,38,,
3218,23 Hillwood Road,23 Hillwood Road,Tsimshatsui,1997,,,Yau Tsim Mong District,22.30280883241118,114.17321045071554,B,21.43,23.47,,
2537,235 Wing Lok Street Trade Centre,235 Wing Lok Street,Sheung Wan,2000,28,"1,924",Central and Western District,22.2876596,114.1481336,B+,18.5,21,,
85,238 Des Voeux Road Central,238 Des Voeux Road Central,Sheung Wan,2016,30,"1,780 - 2,887",Central and Western District,22.28628348532839,114.15236072416972,B+,,,,
2971,238 Nathan Road,238 Nathan Road,Jordan,1999,21,"12,381",Yau Tsim Mong District,22.3048159,114.1719366,B,48,48,,
1344,239 Hennessy Road,235-239 Hennessy Road,Wanchai,2012,30,"1,654",Wanchai District,22.278068,114.175933,B+,28,28,,
1401,250 Hennessy,250 Hennessy Road,Wanchai,1999,35,"2,568",Wanchai District,22.277692004,114.17587900699999,B+,,,,
2963,26 Nathan Road,26 Nathan Road,Tsimshatsui,1998,,"6,427",Yau Tsim Mong District,22.295863998,114.172584999,A,60,65,,
2735,28 Austin Avenue,28 Austin Avenue,Tsimshatsui,,,,Yau Tsim Mong District,22.303175008,114.174865001,B,38.24,38.24,,
17433,28 Stanley,28-32 Stanley Street,Central,2021,31,"2,708 - 3,943",Central and Western District,22.2823129,114.1554401,B+,,,,
5409,280 Portland Street Commercial Building,280 Portland Street,Mongkok,1993,,"1,800",Yau Tsim Mong District,22.3196199,114.1687841,C,,,,
2716,29 Austin Road,29 Austin Road,Jordan,1991,,"2,595",Yau Tsim Mong District,22.30329153767026,114.16937197852157,B,26,28,,
156,299QRC,287-299 Queen's Road Central,Sheung Wan,1982,,"3,762",Central and Western District,22.284979008,114.150598995,B+,29,29,,
966,3 Lockhart Road,3 Lockhart Road,Wanchai,1995,31,"4,604",Wanchai District,22.2785909,114.1691161,B+,35,38,,
4833,3 Yuk Yat Street,3 Yuk Yat Street,Tokwawan,1971,,,Kowloon City District,22.315842,114.1910772,,,,,
3676,30 Hollywood Road,30 Hollywood Road,Central,1983,12,"1,029 - 1,617",Central and Western District,22.282170204,114.153403196,B,30,33,,
26,308 Central Des Voeux,308-320 Des Voeux Road Central,Sheung Wan,1994,29,"8,016",Central and Western District,22.286807992,114.150557991,A,38,45,,
3437,31-37 Hankow Road,31-37 Hankow Road,Tsimshatsui,1955,,,Yau Tsim Mong District,22.2972598,114.170944,,,,,
1026,313 Lockhart Road,313 Lockhart Road,Wanchai,1993,11,824,Wanchai District,22.279049999,114.177955008,C,25,25,,
1993,31C-D Wyndham Street,31C-D Wyndham Street,Central,1969,5,,Central and Western District,22.280234006,114.155354992,C,,,,
1902,321 Java Road,321 Java Road,North Point,1985,,"18,000",Eastern District,22.2926155,114.2067745,A,20,22,6658,6658
84,33 Des Voeux Road Central,31-37 Des Voeux Road Central,Central,2013,29,"3,421 - 4,679",Central and Western District,22.28300517833014,114.15720756411187,B+,60,70,,
838,33 Des Voeux Road West,33-45 Des Voeux Road West,Sheung Wan,2017,,"1,805 - 5,580",Central and Western District,22.28782796374839,114.14670423500166,B+,33,35,,
653,33 Wyndham Street,33 Wyndham Street,Central,2004,30,"5,120",Central and Western District,22.280447006,114.155134997,B+,42,42,,
17495,333 Hennessy,333-335 Hennessy Road,Wanchai,2022,23,"477 - 1,745",Wanchai District,22.2787384,114.1787061,B+,32,35,,
230,35 QRC,35 Queen's Road Central,Central,2020,26,"1,982 - 3,125",Central and Western District,22.28228991140585,114.1563321996974,B+,40,40,,
17713,35-37 Cameron Road,35-37 Cameron Road,Tsimshatsui,,,,Yau Tsim Mong District,22.2996588,114.1749708,A,,,,
854,36 Jardine's Bazaar,36 Jardine's Bazaar,Causeway Bay,2014,9,"1,100",Wanchai District,22.2794847,114.1854293,B,46,47.09,,
17762,369 Hennessy Road,369-371 Hennessy Road,Wanchai,2023,21,"1,220 - 1,580",Wanchai District,22.2789184,114.1797262,A,31,39,,
15051,38 Plaza,38 Shantung Street,Mongkok,1998,,,Yau Tsim Mong District,22.317365,114.169304,B,,,,
982,382 Lockhart Road,376-382 Lockhart Road,Wanchai,1995,23,"2,517",Wanchai District,22.27920326685884,114.1797147629762,B,28,28,,
1793,383 King's Road,383-385 King's Road,North Point,2023,,"2,900",Eastern District,22.290634992,114.197710005,B,25,29,,
17298,39 King's Road,39 King's Road,Tin Hau,2022,26,"1,087 - 1,244",Wanchai District,22.2845783,114.1925749,B+,39.34,39.34,0,0
17973,39 Sha Tsui Road,39 Sha Tsui Road,Tsuen Wan,2024,22,"8,571 - 9,668",Tsuen Wan District,22.37393739779572,114.10937338650818,A,,,,
14690,4 Mong Kok Road,4-4A Mong Kok Road,Mongkok,2025,,"1,040 - 7,590",Yau Tsim Mong District,22.3205818,114.1665548,A,,,,
9227,4-6 On Wo Lane,4-6 On Wo Lane,Central,1977,,,Central and Western District,22.284628994,114.15252100199999,C,,,,
2034,40 Stanley Street,40 Stanley Street,Central,,4,,Central and Western District,22.282773007,114.155158995,C,,,,
11521,41 Heung Yip Road,41 Heung Yip Road,Wong Chuk Hang,2016,,"11,744",Southern District,22.2477839,114.163003,A,23,30,,
3423,43-49A Hankow Road,43-49A Hankow Road,Tsimshatsui,,,,Yau Tsim Mong District,22.297819994,114.171081001,,,,,
3731,46 Lyndhurst Terrace,46 Lyndhurst Terrace,Central,1994,26,"2,161",Central and Western District,22.282537002,114.153640009,B+,27.76,27.76,,
17748,49-51 Kimberley Road,49-51 Kimberley Road,Tsimshatsui,,,,Yau Tsim Mong District,22.3010405,114.1743575,B+,,,,
4727,52 Hung To Road,52 Hung To Road,Kwun Tong,2009,,"8,364 - 10,205",Kwun Tong District,22.310154009,114.221913991,A,17,18,,
3049,562 Nathan Road,562-562A Nathan Road,Mongkok,2017,,,Yau Tsim Mong District,22.3147021,114.1705258,B+,,,,
17431,58 Wing Lok Street,52-58 Wing Lok Street,Sheung Wan,2021,23,"751 - 1,154",Central and Western District,22.2863611,114.1516802,B+,35,35.47,,
2486,59 Wing Lok Street,59 Wing Lok Street,Sheung Wan,1979,,,Central and Western District,22.285893,114.1526961,C,,,,
