Date,Address,Price,PriceTag,Area,Ft_Price,Agency,Region,District,Subdistrict,Code,Area_URL
2025-02-20,Shun Fai Building・Lower Floor・Flat A,$4.72M,S,323ft²,"@$14,613",Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=3824su7i5o
2025-02-19,Smithfield Terrace・Block A・Lower Floor・Flat 4,$3.3M,S,265ft²,"@$12,453",Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=3824su7i5o
2025-02-18,Harbour View Garden・Tower 3・Lower Floor・Flat A,"$19,000",L,405ft²,@$47,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=3824su7i5o
2025-02-17,Serene Court・21/F・Flat C,$10.8M,S,691ft²,"@$15,630",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=3824su7i5o
2025-02-15,Kennedy 38・Upper Floor・Flat L,"$23,000",L,302ft²,@$76,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=3824su7i5o
2025-02-15,Treasure Court・Lower Floor・Flat B,"$15,000",L,301ft²,@$50,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/kennedy-town_19-HMA111?q=3824su7i5o
