Building Name,Address,Detail URL
Style Factory Building,9 Elm Street,https://www.midlandici.com.hk/ics/property/building/details/B000023523/Style-Factory-Building
Sunbeam Plaza,1155 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000023620/Sunbeam-Plaza
The Bedford,"91, 93 Bedford Road",https://www.midlandici.com.hk/ics/property/building/details/B000076248/The-Bedford
The Cloud,111 Tung Chau Street,https://www.midlandici.com.hk/ics/property/building/details/B000093379/The-Cloud
Wah Yuen Factory Building,15-21 Beech Street & 10-18 Elm Street,https://www.midlandici.com.hk/ics/property/building/details/B000024652/Wah-Yuen-Factory-Building
Wai Yick Industrial Building,99 Bedford Road,https://www.midlandici.com.hk/ics/property/building/details/B000024694/Wai-Yick-Industrial-Building
Walnut 9,9 Walnut Street,https://www.midlandici.com.hk/ics/property/building/details/B000087056/Walnut-9
Wang Yip Industrial Building,1 Elm Street,https://www.midlandici.com.hk/ics/property/building/details/B000024775/Wang-Yip-Industrial-Building
Wing Gar Factory Building,87 Larch Street,https://www.midlandici.com.hk/ics/property/building/details/B000024930/Wing-Gar-Factory-Building
Worldwide Centre,123 Tung Chau Street,https://www.midlandici.com.hk/ics/property/building/details/B000059583/Worldwide-Centre
822 Lai Chi Kok Road Kowloon,822 Lai Chi Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000055077/822-Lai-Chi-Kok-Road-Kowloon
909 Cheung Sha Wan Road,909 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000024673/909-Cheung-Sha-Wan-Road
Centre 600,82 King Lam Street,https://www.midlandici.com.hk/ics/property/building/details/B000007239/Centre-600
Ceo Tower,77 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000068495/Ceo-Tower
Charm Centre,700 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007240/Charm-Centre
China United Plaza,1008 Tai Nan West Street,https://www.midlandici.com.hk/ics/property/building/details/B000007241/China-United-Plaza
Clifford Centre,782 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000053057/Clifford-Centre
Comweb Plaza,12 Cheung Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000007242/Comweb-Plaza
Cre Centre,889 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007243/Cre-Centre
D2 Place 2,15 Cheung Shun St,https://www.midlandici.com.hk/ics/property/building/details/B000055082/D2-Place-2
D2 Place One,9 Cheung Yee Street,https://www.midlandici.com.hk/ics/property/building/details/B000055081/D2-Place-One
Dragon Industrial Building,93 King Lam Street,https://www.midlandici.com.hk/ics/property/building/details/B000007244/Dragon-Industrial-Building
Elite Industrial Centre,883 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007245/Elite-Industrial-Centre
Fashion Centre,51-53 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000007935/Fashion-Centre
Fast Industrial Building,658 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000019099/Fast-Industrial-Building
Ford Glory Plaza,37-39 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000020382/Ford-Glory-Plaza
Fung Wah Factorial Building,"646, 648 & 648a Castle Peak Road",https://www.midlandici.com.hk/ics/property/building/details/B000019358/Fung-Wah-Factorial-Building
Garment Centre,576-586 Castle Peak Rd,https://www.midlandici.com.hk/ics/property/building/details/B000019390/Garment-Centre
Global Gateway Tower,63 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000079730/Global-Gateway-Tower
Grandion Plaza,932 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000068661/Grandion-Plaza
Hong Kong Industrial Centre Block A,489-491 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007915/Hong-Kong-Industrial-Centre-Block-A
Hong Kong Industrial Centre Block B,489-491 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007916/Hong-Kong-Industrial-Centre-Block-B
Hong Kong Industrial Centre Block C,489-491 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007918/Hong-Kong-Industrial-Centre-Block-C
Hong Kong Spinners Industrial Building Phase V,760-762 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007929/Hong-Kong-Spinners-Industrial-Building-Phase-V
"Hong Kong Spinners Industrial Building, Phase Vi",481 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007930/Hong-Kong-Spinners-Industrial-Building--Phase-Vi
"Hong Kong Spinners Industrial Building, Phases I & Ii",601-603 Tai Nan West Street & 800 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007924/Hong-Kong-Spinners-Industrial-Building--Phases-I---Ii
Hop Hing Industrial Building,704 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007237/Hop-Hing-Industrial-Building
Hung Cheong Factory Building,742-748 Cheung Sha Wan Road & 3 Kwong Cheung Street,https://www.midlandici.com.hk/ics/property/building/details/B000020168/Hung-Cheong-Factory-Building
Ka To Factory Building,2 Cheung Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000007238/Ka-To-Factory-Building
Kowloon Plaza,485 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007230/Kowloon-Plaza
Kwong Tai Factory Building,750 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000021021/Kwong-Tai-Factory-Building
Laford Centre,838 Lai Chi Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000021067/Laford-Centre
Laws Commercial Plaza,788 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000021167/Laws-Commercial-Plaza
Long To Building,654 - 656 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000021421/Long-To-Building
Luen Hing Factory Building,109 King Lam Street,https://www.midlandici.com.hk/ics/property/building/details/B000021477/Luen-Hing-Factory-Building
