building_key,midland_id,midland_original_key,midland_name,centanet_id,centanet_original_key,centanet_name,match_score
MD_B000007045,B000007045,B000007045,Ray Centre,784f2a6b-0e83-4313-88a7-094d8b8a8801,784f2a6b-0e83-4313-88a7-094d8b8a8801,Ray Centre,90.0
MD_B000007494,B000007494,B000007494,Ricky Centre,9b4f75a5-51ed-403c-aef5-ba6cfe669eca,9b4f75a5-51ed-403c-aef5-ba6cfe669eca,Ricky Centre,90.0
MD_B000023406,B000023406,B000023406,Room + Kwun Tong,5fd622d0-9329-4ac2-a7af-c62ef0857e23,5fd622d0-9329-4ac2-a7af-c62ef0857e23,Room Kwun Tong,90.0
MD_B000007111,B000007111,B000007111,Seaview Centre,1ffc378d-4473-4217-ad60-9eaafcfb8d67,1ffc378d-4473-4217-ad60-9eaafcfb8d67,Seaview Centre,90.0
MD_B000007495,B000007495,B000007495,Shing Yip Industrial Building,7420179b-07ba-4ba4-85e5-65e47de5247a,7420179b-07ba-4ba4-85e5-65e47de5247a,Yip Shing Industrial Centre,81.0
MD_B000007508,B000007508,B000007508,Shiu Fat Industrial Building,83fd0701-6f71-4b08-98e4-390c1748ad86,83fd0701-6f71-4b08-98e4-390c1748ad86,Shiu Fat Industrial Building,90.0
MD_B000023409,B000023409,B000023409,Sino Industrial Plaza,fa68b7f8-c504-4237-8216-6a6dc2bc9a9b,fa68b7f8-c504-4237-8216-6a6dc2bc9a9b,Sino Industrial Plaza,90.0
MD_B000059712,B000059712,B000059712,Southtex Building,4f98ef41-7ea3-42e2-b00c-c21505075a03,4f98ef41-7ea3-42e2-b00c-c21505075a03,Southtex Building,90.0
MD_B000023474,B000023474,B000023474,Speedy Industrial Building,aada28c5-8315-4ffc-8a34-d2cbb85d8b4e,aada28c5-8315-4ffc-8a34-d2cbb85d8b4e,Speedy Industrial Building,90.0
MD_B000007095,B000007095,B000007095,Sunbeam Centre,6372f7ff-5b9e-4fe8-a992-b1d2a8ac6338,6372f7ff-5b9e-4fe8-a992-b1d2a8ac6338,Sunbeam Centre,90.0
MD_B000021791,B000021791,B000021791,The Icon,f92f9ae7-8944-46ee-b7bd-7baa996c78fd,f92f9ae7-8944-46ee-b7bd-7baa996c78fd,THE ICON,90.0
MD_B000023542,B000023542,B000023542,The Ozone,fe006b5e-259d-4d8e-a03b-d8f42581918f,fe006b5e-259d-4d8e-a03b-d8f42581918f,THE OZONE,90.0
MD_B000007862,B000007862,B000007862,Tonic Industrial Centre Block A,c973f27d-29ee-4839-9d63-3e121953f923,c973f27d-29ee-4839-9d63-3e121953f923,Tonic Industrial Centre Block A,90.0
MD_B000007864,B000007864,B000007864,Tonic Industrial Centre Block B,a817ae73-3d1b-4172-9850-2ffa426ca628,a817ae73-3d1b-4172-9850-2ffa426ca628,Tonic Industrial Centre Block B,90.0
MD_B000007500,B000007500,B000007500,Treasure Centre,c7fefca3-ddb1-4fb2-903b-dd425713e43b,c7fefca3-ddb1-4fb2-903b-dd425713e43b,Treasure Centre,90.0
MD_B000024438,B000024438,B000024438,Viet Shing Factory Building,2504913a-27c0-4ede-999d-a7e046e14f7d,2504913a-27c0-4ede-999d-a7e046e14f7d,Viet Shing Factory Building,90.0
MD_B000007105,B000007105,B000007105,Wah Hung Center,2b09903c-69de-4196-9cd8-0581ac223f6b,2b09903c-69de-4196-9cd8-0581ac223f6b,Wah Hung Center,90.0
MD_B000007775,B000007775,B000007775,Wah Shing Centre,2fbcee5b-16ba-43f8-8fb1-faa288a8c092,2fbcee5b-16ba-43f8-8fb1-faa288a8c092,Wah Shing Centre (KT),90.0
MD_B000007112,B000007112,B000007112,Winful Centre,ba370b21-d79d-411d-a9f2-fad29a0d02eb,ba370b21-d79d-411d-a9f2-fad29a0d02eb,Winful Centre,90.0
MD_B000025072,B000025072,B000025072,Winner Factory Building,0114184e-a5b2-45f3-b0e3-88c7bb805c9a,0114184e-a5b2-45f3-b0e3-88c7bb805c9a,Winner Factory Building,90.0
MD_B000007106,B000007106,B000007106,World Tech Centre,aa968a76-5229-4a74-b212-6137659775ae,aa968a76-5229-4a74-b212-6137659775ae,World Tech Centre,90.0
MD_B000025278,B000025278,B000025278,Yau Tong Industrial City Block A,51b740fe-b340-4c64-a507-89eaa3e29fc3,51b740fe-b340-4c64-a507-89eaa3e29fc3,Yau Tong Industrial City Block A,90.0
MD_B000059809,B000059809,B000059809,Yau Tong Industrial City Block B,8deb4a44-41c3-4233-a3e4-b1cc7287eaad,8deb4a44-41c3-4233-a3e4-b1cc7287eaad,Yau Tong Industrial City Block B,90.0
MD_B000018089,B000018089,B000018089,Amiata Industrial Building,2ec0678a-2718-47ae-a7f3-87af74caf76d,2ec0678a-2718-47ae-a7f3-87af74caf76d,Amiata Industrial Building,90.0
MD_B000018122,B000018122,B000018122,Asia Trade Centre,72fcd097-53bd-4aa1-90e8-0cf63ee645ad,72fcd097-53bd-4aa1-90e8-0cf63ee645ad,Asia Trade Centre (KC),90.0
MD_B000007796,B000007796,B000007796,Block 1 Kwai Tak Industrial Centre,638fa9cb-c858-4246-80c7-aaf40751847a,638fa9cb-c858-4246-80c7-aaf40751847a,Kwai Tak Industrial Centre Phase 1,84.0
MD_B000007797,B000007797,B000007797,Block 2 Kwai Tak Industrial Centre,163fe9c7-2752-4597-b5c6-1c1acb127ac9,163fe9c7-2752-4597-b5c6-1c1acb127ac9,Kwai Tak Industrial Centre Phase 2,84.0
MD_B000018409,B000018409,B000018409,Che Wah Industrial Building,38d40905-aafb-4953-9907-fd8c0d1537c3,38d40905-aafb-4953-9907-fd8c0d1537c3,Che Wah Industrial Building,90.0
MD_B000059862,B000059862,B000059862,Chinabest International Centre,b31ba833-2f9e-48fc-ac40-690e4029635f,b31ba833-2f9e-48fc-ac40-690e4029635f,Chinabest International Centre,90.0
MD_B000018635,B000018635,B000018635,Ching Cheong Industrial Building,feb72da6-6403-4b4d-9b56-0314b1a6f7a9,feb72da6-6403-4b4d-9b56-0314b1a6f7a9,Ching Cheong Industrial Building,90.0
MD_B000018708,B000018708,B000018708,Chuan Kei Factory Building,8a481dfe-a811-414f-b6f7-894f6c184fd0,8a481dfe-a811-414f-b6f7-894f6c184fd0,Chuan Kei Factory Building,90.0
MD_B000019108,B000019108,B000019108,Favor Industrial Centre,70c03e8d-b441-4ff9-95ab-8247cb8f6062,70c03e8d-b441-4ff9-95ab-8247cb8f6062,Favor Industrial Centre,90.0
MD_B000007119,B000007119,B000007119,Fook Yip Building,8d3b13f4-19c7-4ba3-af24-a541bf90811d,8d3b13f4-19c7-4ba3-af24-a541bf90811d,Fook Yip Building,90.0
MD_B000019441,B000019441,B000019441,Gold King Industrial Building,3c67159f-5dd5-4e20-a8b4-83d1a3d08712,3c67159f-5dd5-4e20-a8b4-83d1a3d08712,Gold King Industrial Building,90.0
MD_B000019449,B000019449,B000019449,Gold Way Industrial Centre Block A,a556c491-3fc8-47b8-9cce-151099e48182,a556c491-3fc8-47b8-9cce-151099e48182,Gold Way Industrial Centre A,90.0
MD_B000059562,B000059562,B000059562,Gold Way Industrial Centre Block B,de4c79fe-b6f1-410b-a7e8-ad4c8881badc,de4c79fe-b6f1-410b-a7e8-ad4c8881badc,Gold Way Industrial Centre B,90.0
MD_B000019467,B000019467,B000019467,Golden Industrial Building,d28cd3aa-fd38-4ff2-9a02-0913e5abc581,d28cd3aa-fd38-4ff2-9a02-0913e5abc581,Golden Industrial Building,90.0
MD_B000019481,B000019481,B000019481,Goldfield Industrial Building,defaf7b0-d910-496f-bccb-b790c711a980,defaf7b0-d910-496f-bccb-b790c711a980,Goldfield Industrial Building I,88.2
MD_B000019528,B000019528,B000019528,Grand Industrial Building,66c7532f-d520-45bc-9143-166d3e70e92e,66c7532f-d520-45bc-9143-166d3e70e92e,Grand Industrial Building,90.0
MD_B000007353,B000007353,B000007353,Hong Kong Worsted Mills Industrial Building,2eb48feb-5f5f-437c-912f-2b7ba0542e92,2eb48feb-5f5f-437c-912f-2b7ba0542e92,HK Worsted Mills Industrial Building,87.6
MD_B000020140,B000020140,B000020140,Hou Feng Industrial Building,4f6068f3-ffb2-407b-8031-4da5881371f1,4f6068f3-ffb2-407b-8031-4da5881371f1,Mai Sik Industrial Building,75.4
